20180101,1,26
20180101,10,17
20180101,100,0
20180101,1000,16
20180101,1001,14
20180101,1002,20
20180101,1003,10
20180101,1004,19
20180101,1005,17
20180101,1006,51
20180101,1007,45
20180101,1008,25
20180101,1009,60
20180101,101,28
20180101,1010,39
20180101,1011,41
20180101,1012,38
20180101,1012,38
20180101,1013,36
20180102,1014,37
20180102,1015,23
20180102,1016,32
20180102,1017,40
20180102,1018,99
20180102,1019,110
20180102,102,30
20180102,1020,69
20180102,1021,85
20180102,1022,77
20180102,1023,54
20180102,1024,70
20180102,1025,45
20180102,1026,69
20180102,1027,64
20180102,1028,77
20180102,1029,33
20180102,103,37
20180102,1030,37
20180102,1031,27
20180102,1032,43
20180102,1033,33
20180103,1034,33
20180103,1035,54
20180103,1036,35
20180103,1037,31
20180103,1038,30
20180103,1039,25
20180103,104,32
20180103,1040,37
20180103,1041,16
20180103,1042,65
20180103,1043,58
20180103,1044,70
20180103,1045,62
20180103,1046,37
20180103,1047,19
20180103,1048,15
20180103,1049,69
20180103,105,35
20180103,1050,55
20180103,1051,56
20180103,1052,39
20180103,1053,50
20180103,1054,76
20180103,1055,46
20180103,1056,32
20180104,1059,16
20180104,106,0
20180104,1060,50
20180104,1061,57
20180104,1062,19
20180104,1063,11
20180104,1064,177
20180104,1065,176
20180104,1066,139
20180104,1067,160
20180104,1068,169
20180104,1069,156
20180104,107,36
20180104,1070,0
20180104,1071,146
20180104,1072,87
20180104,1073,126
20180104,1074,114
20180104,1075,131
20180104,1076,115
20180104,1077,114
20180104,1078,123
20180104,1079,100
20180104,108,26
20180104,1080,108
20180104,1081,87
